City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
358,Mae Sot,TH,2022-09-22 05:52:46,16.7167,98.5667,87.75,74,40,5.75,scattered clouds
359,Constitucion,CL,2022-09-22 05:49:24,-35.3333,-72.4167,45.61,74,8,6.62,clear sky
360,Vestmannaeyjar,IS,2022-09-22 05:52:47,63.4427,-20.2734,51.15,84,100,12.19,overcast clouds
361,Ketchikan,US,2022-09-22 05:52:47,55.3422,-131.6461,55.87,88,75,4.61,broken clouds
362,Narsaq,GL,2022-09-22 05:43:56,60.9167,-46.05,37.62,62,96,6.08,overcast clouds
363,Jinxiang,CN,2022-09-22 05:52:48,27.4327,120.6062,78.08,68,75,7.56,broken clouds
364,Seymchan,RU,2022-09-22 05:52:48,62.8833,152.4333,35.33,94,100,2.37,light snow
365,Ulaanbaatar,MN,2022-09-22 05:48:01,47.9077,106.8832,41.13,52,20,8.95,few clouds
366,Puerto Colombia,CO,2022-09-22 05:52:49,10.9878,-74.9547,78.89,78,98,4.14,overcast clouds
367,Luanda,AO,2022-09-22 05:50:01,-8.8368,13.2343,71.6,88,75,4.61,broken clouds
368,Cabo San Lucas,MX,2022-09-22 05:43:49,22.8909,-109.9124,80.06,87,21,1.99,few clouds
369,Lazaro Cardenas,MX,2022-09-22 05:48:41,17.9583,-102.2,76.3,86,99,3.04,overcast clouds
370,Mount Gambier,AU,2022-09-22 05:43:39,-37.8333,140.7667,57.11,82,100,3.44,overcast clouds
371,Yasnogorsk,RU,2022-09-22 05:52:51,54.4803,37.6975,51.57,85,21,6.08,few clouds
372,Minggang,CN,2022-09-22 05:52:51,32.4586,114.0486,85.42,31,98,7.65,overcast clouds
373,Hailey,US,2022-09-22 05:52:52,43.5196,-114.3153,50.88,75,74,0.69,broken clouds
374,Hambantota,LK,2022-09-22 05:52:52,6.1241,81.1185,89.94,58,20,18.41,few clouds
375,Vangaindrano,MG,2022-09-22 05:52:54,-23.35,47.6,70.38,85,96,9.1,light rain
376,Mitu,CO,2022-09-22 05:53:01,1.1983,-70.1733,72.27,98,98,2.44,overcast clouds
377,Luderitz,NA,2022-09-22 05:43:55,-26.6481,15.1594,58.84,51,0,7.23,clear sky
378,Kuching,MY,2022-09-22 05:52:17,1.55,110.3333,91.62,55,40,4.61,scattered clouds
379,Muros,ES,2022-09-22 05:53:04,42.7762,-9.0603,53.83,87,56,4.74,broken clouds
380,Corn Island,NI,2022-09-22 05:53:04,12.1694,-83.0418,82.58,75,84,13.91,broken clouds
381,Veraval,IN,2022-09-22 05:53:05,20.9,70.3667,82.54,69,39,11.83,scattered clouds
382,Naze,JP,2022-09-22 05:53:05,28.3667,129.4833,83.32,82,20,12.64,few clouds
383,Pangnirtung,CA,2022-09-22 05:53:06,66.1451,-65.7125,31.75,74,91,1.3,overcast clouds
384,Evensk,RU,2022-09-22 05:44:15,61.95,159.2333,44.78,52,84,9.86,broken clouds
385,Moron,AR,2022-09-22 05:53:06,-34.6534,-58.6198,55.09,80,97,2.26,overcast clouds
386,Tabou,CI,2022-09-22 05:53:07,4.423,-7.3528,74.5,89,58,3.36,broken clouds
